week.ending, num.props, med.price, avg.price
2009-07-04, 14483, 225435, 329245
2009-07-11, 14226, 228469, 331861
2009-07-18, 14200, 224699, 329578
2009-07-25, 13909, 229070, 333281
2009-08-01, 13782, 228214, 326606
2009-08-08, 14345, 227086, 327466
2009-08-15, 14899, 221840, 321375
2009-08-22, 14647, 220845, 321067
2009-08-29, 23273, 202841, 303791
2009-09-05, 26507, 196413, 293666
2009-09-12, 26140, 197233, 291998
2009-09-19, 24218, 192040, 293824
2009-09-26, 22901, 184484, 296211
2009-10-03, 24145, 187626, 295801
2009-10-10, 24177, 186765, 294947
2009-10-17, 24360, 185822, 294583
2009-10-24, 24081, 184983, 294567
2009-10-31, 24138, 184969, 293929
2009-11-07, 23938, 184735, 294248
2009-11-14, 23793, 185665, 295670
2009-11-21, 23391, 185897, 297620
2009-11-28, 23085, 185000, 296682
2009-12-05, 22830, 184995, 296734
2009-12-12, 22669, 183684, 295429
2009-12-19, 22813, 181258, 292454
2009-12-26, 22864, 179936, 290274
2010-01-02, 22444, 179720, 289547
2010-01-09, 21692, 180235, 290344
2010-01-16, 21984, 182924, 289842
2010-01-23, 13060, 221743, 305646
2010-01-30, 6226, 249442, 314770
2010-02-06, 6180, 249917, 303512
2010-02-13, 6299, 249916, 302952
2010-02-20, 6402, 249900, 301753
2010-02-27, 6394, 249913, 301556
2010-03-06, 6695, 249998, 310158
2010-03-13, 6718, 250587, 311110
2010-03-20, 6634, 249123, 310377
2010-03-27, 5934, 255452, 308780
2010-04-03, 6774, 246510, 307765
2010-04-10, 6776, 246240, 308424
2010-04-17, 6483, 249171, 307742
2010-04-24, 6929, 246158, 308262
2010-05-01, 7058, 246117, 307894
2010-05-08, 6902, 247145, 309782
2010-05-15, 6920, 246914, 306113
2010-05-22, 6986, 247159, 300947
2010-05-29, 6978, 246683, 299951
2010-06-05, 7247, 248146, 300599
2010-06-12, 7291, 248901, 302051
2010-06-19, 7419, 249930, 303861
2010-06-26, 7574, 249902, 303633
2010-07-03, 7578, 248946, 302227
2010-07-10, 7585, 245849, 298954
2010-07-17, 7611, 243404, 297224
2010-07-24, 7125, 243872, 297172
2010-07-31, 7689, 241910, 294224
2010-08-07, 7957, 244372, 294062
2010-08-14, 7491, 236104, 291652
2010-08-21, 7980, 236132, 296564
2010-08-28, 7634, 231643, 292242
2010-09-04, 7545, 233328, 286111
2010-09-11, 7487, 234324, 286373
2010-09-18, 7643, 234670, 285380
2010-09-25, 7483, 233817, 284102
2010-10-02, 7460, 233712, 283773
2010-10-09, 7995, 223770, 268778
2010-10-16, 7419, 234923, 283498
2010-10-23, 7417, 234904, 283467
2010-10-30, 7435, 234770, 284166
2010-11-06, 7391, 234920, 284221
2010-11-13, 7324, 235620, 284916
2010-11-20, 7127, 238031, 285788
2010-11-27, 7461, 237748, 284312
2010-12-04, 7369, 235180, 282564
2010-12-18, 5583, 224990, 281892
2010-12-25, 5521, 224994, 281619
2011-01-01, 5454, 225150, 282034
2011-01-08, 5483, 224995, 281425
2011-01-15, 5552, 224990, 279978
2011-01-22, 5592, 224990, 280152
2011-01-29, 5642, 224934, 278824
2011-02-05, 5635, 224945, 277752
2011-02-12, 5667, 224992, 277824
2011-02-19, 5751, 224996, 276881
2011-02-26, 5807, 224984, 274215
2011-03-05, 5732, 226815, 275918
2011-03-12, 5745, 229327, 278175
2011-03-19, 5803, 229550, 279049
2011-03-26, 5831, 229786, 280006
2011-04-02, 5841, 230190, 280030
2011-04-09, 5862, 232509, 281860
2011-04-16, 5928, 233591, 282278
2011-04-23, 5960, 236311, 283508
2011-04-30, 6171, 239900, 285905
2011-05-07, 6230, 240294, 286494
2011-05-14, 6473, 243689, 290034
2011-05-21, 6492, 243766, 293708
2011-05-28, 6473, 242561, 295922
2011-06-04, 6528, 242027, 295072
2011-06-11, 6515, 243966, 295592
2011-06-18, 6603, 243414, 291708
2011-06-25, 6589, 240313, 290045
2011-07-02, 6571, 240389, 291288
2011-07-09, 6472, 242625, 292919
2011-07-16, 6408, 242708, 292461
2011-07-23, 6430, 244854, 292445
2011-07-30, 6417, 246323, 292705
2011-08-06, 6494, 246352, 291969
2011-08-13, 6511, 246581, 291843
2011-08-20, 6493, 247072, 291817
2011-08-27, 6479, 248057, 292159
2011-09-03, 6399, 247906, 290331
2011-09-10, 6303, 248990, 290253
2011-09-17, 6290, 248994, 290666
2011-09-24, 6238, 248266, 291110
2011-10-01, 6144, 248271, 291531
2011-10-08, 6009, 247126, 291983
2011-10-15, 6023, 248391, 293594
2011-10-22, 6036, 249918, 294458
2011-10-29, 6013, 249908, 294813
2011-11-05, 5839, 249987, 296392
