week.ending, num.props, med.price, avg.price
2009-07-04, 2569, 257195, 305875
2009-07-11, 2643, 258211, 305785
2009-07-18, 2669, 257786, 304528
2009-07-25, 2700, 259848, 303513
2009-08-01, 2703, 257896, 300593
2009-08-08, 2750, 256775, 298851
2009-08-15, 2773, 254566, 298613
2009-08-22, 2772, 253451, 298271
2009-08-29, 4020, 237706, 291066
2009-09-05, 4467, 233651, 284304
2009-09-12, 4423, 234400, 284523
2009-09-19, 4100, 227274, 283781
2009-09-26, 3898, 219354, 280923
2009-10-03, 4133, 224013, 282924
2009-10-10, 4116, 222909, 281639
2009-10-17, 4116, 221320, 279836
2009-10-24, 4071, 220182, 278589
2009-10-31, 4100, 219556, 277748
2009-11-07, 4140, 218528, 277378
2009-11-14, 4161, 216007, 275608
2009-11-21, 4059, 217513, 277467
2009-11-28, 4032, 219954, 280852
2009-12-05, 3991, 219939, 280633
2009-12-12, 4016, 221202, 280519
2009-12-19, 4049, 219383, 278101
2009-12-26, 4054, 218803, 277237
2010-01-02, 3989, 218394, 278120
2010-01-09, 3911, 218371, 277945
2010-01-16, 3852, 211280, 276259
2010-01-23, 3746, 209683, 278063
2010-01-30, 3937, 209972, 278950
2010-02-06, 3992, 209603, 278573
2010-02-13, 4044, 209368, 278020
2010-02-20, 4071, 209589, 278759
2010-02-27, 4155, 200771, 274869
2010-03-06, 4319, 204813, 273430
2010-03-13, 4330, 201358, 270113
2010-03-20, 4386, 200113, 269272
2010-03-27, 3806, 208864, 273688
2010-04-03, 4555, 200037, 271049
2010-04-10, 4534, 200030, 272578
2010-04-17, 4339, 205458, 274935
2010-04-24, 4731, 200982, 273700
2010-05-01, 4792, 200633, 272633
2010-05-08, 4697, 201615, 272970
2010-05-15, 4696, 203023, 272985
2010-05-22, 4707, 200925, 272193
2010-05-29, 4739, 200392, 270647
2010-06-05, 4885, 200789, 269812
2010-06-12, 4898, 205392, 272421
2010-06-19, 4929, 205000, 272935
2010-06-26, 5023, 204473, 271467
2010-07-03, 5052, 202763, 270733
2010-07-10, 4977, 201899, 271879
2010-07-17, 4991, 199675, 268980
2010-07-24, 4891, 198192, 266344
2010-07-31, 5094, 198798, 266245
2010-08-07, 5190, 199513, 266347
2010-08-14, 5009, 196579, 262954
2010-08-21, 4900, 197121, 262233
2010-08-28, 4708, 193189, 260611
2010-09-04, 4699, 194823, 263257
2010-09-11, 4634, 194961, 261680
2010-09-18, 4671, 194220, 259602
2010-09-25, 4626, 193020, 258358
2010-10-02, 4613, 193560, 258159
2010-10-09, 4575, 191568, 257656
2010-10-16, 4521, 191858, 258976
2010-10-23, 4480, 193385, 259728
2010-10-30, 4458, 194696, 260891
2010-11-06, 4427, 193747, 259105
2010-11-13, 4412, 191173, 255765
2010-11-20, 4166, 193282, 258068
2010-11-27, 4515, 191310, 255869
2010-12-04, 4486, 191805, 255627
2010-12-18, 4567, 192166, 260420
2010-12-25, 4503, 193081, 255760
2011-01-01, 4437, 193733, 255297
2011-01-08, 4289, 190334, 254714
2011-01-15, 4311, 189900, 253867
2011-01-22, 4277, 189414, 253813
2011-01-29, 4241, 188784, 252041
2011-02-05, 4265, 187415, 250067
2011-02-12, 4306, 188224, 250983
2011-02-19, 4348, 189318, 252399
2011-02-26, 4403, 187921, 250608
2011-03-05, 4434, 188815, 251318
2011-03-12, 4480, 189826, 252844
2011-03-19, 4528, 189900, 250163
2011-03-26, 4561, 189900, 250259
2011-04-02, 4564, 189932, 251547
2011-04-09, 4619, 192192, 254642
2011-04-16, 4729, 195189, 256802
2011-04-23, 4848, 196296, 257337
2011-04-30, 5004, 199832, 264141
2011-05-07, 4924, 199114, 262699
2011-05-14, 4979, 199600, 265015
2011-05-21, 4962, 199993, 267747
2011-05-28, 4931, 199467, 266844
2011-06-04, 4975, 199900, 268520
2011-06-11, 5040, 199286, 267629
2011-06-18, 5066, 199157, 266445
2011-06-25, 5063, 199533, 265998
2011-07-02, 5071, 198980, 265292
2011-07-09, 5043, 197895, 263196
2011-07-16, 5011, 196426, 261527
2011-07-23, 4983, 197426, 262183
2011-07-30, 4962, 196051, 262867
2011-08-06, 4945, 195709, 265097
2011-08-13, 4933, 196345, 265924
2011-08-20, 4900, 198999, 265656
2011-08-27, 4884, 199000, 264546
2011-09-03, 4839, 199418, 266101
2011-09-10, 4736, 199900, 266336
2011-09-17, 4704, 199886, 265695
2011-09-24, 4675, 199900, 266041
2011-10-01, 4620, 199900, 266779
2011-10-08, 4441, 199129, 264002
2011-10-15, 4739, 195704, 261051
2011-10-22, 4805, 195855, 262806
2011-10-29, 4755, 194998, 261827
2011-11-05, 4635, 196355, 262421
