week.ending, num.props, med.price, avg.price
2009-07-04, 6174, 241821, 322404
2009-07-11, 6170, 244372, 326675
2009-07-18, 5982, 239856, 320480
2009-07-25, 5925, 240786, 321593
2009-08-01, 5815, 241699, 321601
2009-08-08, 5967, 245653, 319054
2009-08-15, 6034, 244233, 316348
2009-08-22, 5907, 245127, 315244
2009-08-29, 8057, 234177, 309091
2009-09-05, 8738, 230173, 309244
2009-09-12, 8572, 231109, 310509
2009-09-19, 7759, 227381, 312057
2009-09-26, 7291, 219851, 312186
2009-10-03, 7875, 227046, 313245
2009-10-10, 7909, 224949, 311957
2009-10-17, 7944, 224933, 311250
2009-10-24, 7885, 224964, 311205
2009-10-31, 7959, 228823, 310918
2009-11-07, 7919, 229929, 314873
2009-11-14, 7849, 229932, 315123
2009-11-21, 7718, 229832, 313803
2009-11-28, 7603, 229913, 312683
2009-12-05, 7498, 229764, 312942
2009-12-12, 7490, 229300, 311483
2009-12-19, 7541, 229915, 312470
2009-12-26, 7640, 227757, 309199
2010-01-02, 7447, 225102, 307496
2010-01-09, 7305, 228050, 307922
2010-01-16, 7517, 228786, 307370
2010-01-23, 6041, 232209, 322645
2010-01-30, 5090, 233966, 328546
2010-02-06, 5071, 233484, 325401
2010-02-13, 5251, 235529, 324346
2010-02-20, 5288, 236556, 325246
2010-02-27, 5294, 236823, 331490
2010-03-06, 5421, 235571, 331471
2010-03-13, 5500, 235150, 324628
2010-03-20, 5602, 237076, 330091
2010-03-27, 4986, 245258, 333019
2010-04-03, 5772, 237994, 328812
2010-04-10, 5610, 234794, 329033
2010-04-17, 5381, 237134, 331177
2010-04-24, 5787, 235199, 333993
2010-05-01, 5898, 237542, 335940
2010-05-08, 5841, 239850, 338326
2010-05-15, 5914, 243102, 338294
2010-05-22, 5932, 245671, 337621
2010-05-29, 6016, 247040, 338636
2010-06-05, 6208, 244955, 337204
2010-06-12, 6315, 245348, 336269
2010-06-19, 6415, 243559, 334566
2010-06-26, 6529, 240151, 332239
2010-07-03, 6560, 242781, 333664
2010-07-10, 6397, 246424, 336257
2010-07-17, 6331, 244934, 334667
2010-07-24, 6082, 239980, 334372
2010-07-31, 6396, 241108, 332264
2010-08-07, 6482, 239832, 330282
2010-08-14, 6486, 241049, 328932
2010-08-21, 6496, 234268, 322619
2010-08-28, 6362, 232809, 323553
2010-09-04, 6425, 234802, 325732
2010-09-11, 6367, 233891, 329115
2010-09-18, 6434, 234748, 341321
2010-09-25, 6236, 233797, 341115
2010-10-02, 6223, 231113, 338284
2010-10-09, 6185, 229820, 335581
2010-10-16, 6097, 229700, 333276
2010-10-23, 6023, 229729, 335466
2010-10-30, 5980, 230214, 336451
2010-11-06, 5934, 230241, 336395
2010-11-13, 5861, 229900, 322559
2010-11-20, 5550, 231371, 322969
2010-11-27, 5916, 229933, 322174
2010-12-04, 5815, 229900, 321184
2010-12-18, 8483, 216743, 296966
2010-12-25, 8407, 216930, 297102
2011-01-01, 8312, 217958, 299838
2011-01-08, 8181, 217228, 298940
2011-01-15, 8271, 218362, 299911
2011-01-22, 8328, 219900, 300434
2011-01-29, 8263, 219892, 299609
2011-02-05, 8246, 219915, 299968
2011-02-12, 8291, 220849, 299924
2011-02-19, 8462, 222179, 301095
2011-02-26, 8648, 220711, 308664
2011-03-05, 8792, 221932, 308144
2011-03-12, 8846, 222598, 308644
2011-03-19, 8962, 222556, 308323
2011-03-26, 9093, 222183, 307836
2011-04-02, 9068, 222802, 307918
2011-04-09, 9113, 220548, 306686
2011-04-16, 9241, 222293, 306990
2011-04-23, 9308, 224841, 307390
2011-04-30, 9374, 224863, 300993
2011-05-07, 9258, 225093, 302177
2011-05-14, 9418, 226973, 303742
2011-05-21, 9427, 227700, 305005
2011-05-28, 9358, 227350, 306322
2011-06-04, 9340, 227820, 306823
2011-06-11, 9389, 228124, 306904
2011-06-18, 9477, 229141, 306357
2011-06-25, 9508, 228993, 305032
2011-07-02, 9432, 229092, 305626
2011-07-09, 9426, 229074, 305352
2011-07-16, 9377, 229521, 305454
2011-07-23, 9316, 230089, 306990
2011-07-30, 9255, 231233, 308908
2011-08-06, 9307, 233967, 313209
2011-08-13, 9308, 234082, 312413
2011-08-20, 9248, 234415, 313348
2011-08-27, 9137, 234971, 315065
2011-09-03, 9020, 235114, 314280
2011-09-10, 8874, 234960, 313092
2011-09-17, 8853, 236282, 313719
2011-09-24, 8965, 237165, 312292
2011-10-01, 8935, 238136, 311600
2011-10-08, 8758, 237761, 310688
2011-10-15, 8690, 238514, 313172
2011-10-22, 8669, 238218, 312832
2011-10-29, 8561, 238055, 313661
2011-11-05, 8188, 239467, 315953
