week.ending, num.props, med.price, avg.price
2009-07-04, 60, 179093, 378258
2009-07-11, 53, 187107, 403095
2009-07-18, 54, 187945, 405906
2009-07-25, 52, 183347, 441359
2009-08-01, 60, 179991, 414981
2009-08-08, 86, 180764, 336812
2009-08-15, 93, 177938, 311588
2009-08-22, 95, 179705, 311123
2009-08-29, 144, 169605, 275125
2009-09-05, 159, 169937, 270299
2009-09-12, 165, 171258, 267663
2009-09-19, 157, 172273, 256350
2009-09-26, 163, 169188, 269264
2009-10-03, 163, 165756, 258512
2009-10-10, 160, 163476, 236357
2009-10-17, 150, 160538, 200598
2009-10-24, 136, 153425, 201310
2009-10-31, 145, 157395, 207501
2009-11-07, 145, 158128, 207060
2009-11-14, 146, 158385, 207366
2009-11-21, 146, 159484, 213957
2009-11-28, 145, 160536, 219960
2009-12-05, 144, 159869, 221395
2009-12-12, 144, 159555, 221512
2009-12-19, 143, 159311, 224524
2009-12-26, 148, 160642, 221290
2010-01-02, 143, 160376, 222831
2010-01-09, 150, 162803, 215381
2010-01-16, 152, 163760, 216392
2010-01-23, 177, 165206, 209183
2010-01-30, 200, 164854, 204896
2010-02-06, 193, 166990, 207838
2010-02-13, 189, 167151, 208527
2010-02-20, 187, 172780, 210222
2010-02-27, 188, 174066, 210802
2010-03-06, 191, 173207, 211738
2010-03-13, 192, 174161, 209919
2010-03-20, 184, 170778, 203440
2010-03-27, 145, 175741, 201350
2010-04-03, 175, 170948, 198484
2010-04-10, 177, 170033, 198663
2010-04-17, 157, 170887, 195823
2010-04-24, 174, 171695, 198223
2010-05-01, 180, 170068, 200478
2010-05-08, 176, 171384, 215751
2010-05-15, 180, 175641, 216525
2010-05-22, 210, 179785, 212253
2010-05-29, 217, 178331, 208057
2010-06-05, 225, 176990, 207157
2010-06-12, 226, 178740, 211180
2010-06-19, 227, 179740, 213465
2010-06-26, 224, 179990, 212064
2010-07-03, 223, 179968, 206935
2010-07-10, 244, 179586, 207019
2010-07-17, 259, 179124, 207026
2010-07-24, 206, 174005, 213250
2010-07-31, 259, 178885, 208138
2010-08-07, 270, 179264, 209097
2010-08-14, 293, 181947, 208034
2010-08-21, 317, 179990, 205578
2010-08-28, 309, 179971, 204792
2010-09-04, 307, 179354, 202466
2010-09-11, 309, 179013, 204583
2010-09-18, 307, 178990, 207480
2010-09-25, 306, 178990, 204855
2010-10-02, 303, 177660, 200585
2010-10-09, 299, 178990, 203922
2010-10-16, 253, 163466, 201811
2010-10-23, 250, 163468, 202815
2010-10-30, 253, 162419, 201745
2010-11-06, 244, 164277, 199718
2010-11-13, 241, 169113, 202672
2010-11-20, 230, 167797, 197193
2010-11-27, 255, 161990, 189205
2010-12-04, 247, 161945, 188040
2010-12-18, 238, 164968, 193143
2010-12-25, 238, 164990, 192208
2011-01-01, 240, 164990, 192817
2011-01-08, 232, 164977, 191514
2011-01-15, 234, 165704, 194020
2011-01-22, 240, 169006, 205925
2011-01-29, 242, 168490, 200893
2011-02-05, 246, 165866, 195507
2011-02-12, 242, 165990, 218697
2011-02-19, 244, 165984, 234624
2011-02-26, 245, 165510, 235165
2011-03-05, 248, 165248, 234826
2011-03-12, 250, 165705, 229632
2011-03-19, 249, 165990, 199346
2011-03-26, 244, 165485, 200232
2011-04-02, 244, 163693, 200482
2011-04-09, 253, 164429, 201371
2011-04-16, 247, 164161, 203993
2011-04-23, 250, 163984, 201409
2011-04-30, 245, 164241, 204613
2011-05-07, 240, 164033, 206568
2011-05-14, 239, 165602, 209451
2011-05-21, 237, 166783, 210969
2011-05-28, 203, 165625, 219566
2011-06-04, 201, 166507, 223519
2011-06-11, 198, 168714, 225794
2011-06-18, 198, 169100, 227949
2011-06-25, 202, 169033, 227651
2011-07-02, 206, 169720, 228485
2011-07-09, 205, 169360, 226725
2011-07-16, 206, 169064, 224791
2011-07-23, 208, 168286, 225994
2011-07-30, 211, 169000, 227756
2011-08-06, 213, 169000, 257006
2011-08-13, 216, 168999, 268315
2011-08-20, 212, 169064, 247039
2011-08-27, 214, 169129, 227255
2011-09-03, 221, 170184, 227271
2011-09-10, 222, 172704, 240407
2011-09-17, 221, 173422, 242337
2011-09-24, 221, 171703, 240606
2011-10-01, 223, 174927, 241027
2011-10-08, 226, 176922, 241898
2011-10-15, 229, 178964, 242323
2011-10-22, 228, 179981, 243321
2011-10-29, 228, 179988, 244096
2011-11-05, 223, 179969, 235580
